PID,C_max,C_sum,D_max,D_sum,E_max,E_sum,O_max,O_sum,P_max,P_sum,CCC,CCD,CCO,CDC,CDD,CDO,COC,COD,COO,DCC,DCD,DCO,DDC,DDD,DDO,DOC,DOD,DOO,EEE,EEO,EOE,EOO,OCC,OCD,OCO,ODC,ODD,ODO,OEE,OOC,OOD,OOO,Labels
1.0,0,0,1,1,,,44,88,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,1,,,,,0,0,0,0,0,1,,0,1,84,0
257.0,1,1,1,1,,,20,422,0,0,0,0,0,,0,0,0,0,1,0,,,,0,0,,0,1,,,,,0,0,1,0,0,1,,1,1,416,0
523.0,0,0,0,0,,,1,28,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,26,0
532.0,0,0,0,0,,,1,28,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,26,0
576.0,1,1,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
585.0,4,8,0,0,,,6,64,0,0,0,0,0,,0,0,5,0,3,0,,,,0,0,,0,0,,,,,0,0,8,0,0,0,,3,0,51,0
730.0,2,2,2,4,,,67,74,0,0,0,0,0,,0,0,0,0,2,0,,,,0,1,,0,1,,,,,0,0,2,0,2,0,,2,2,66,0
737.0,0,0,0,0,,,1,1,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
750.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
752.0,0,0,0,0,,,4,4,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,2,0
756.0,0,0,0,0,,,6,6,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,4,0
775.0,0,0,0,0,,,10,10,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,8,0
840.0,0,0,0,0,,,10,10,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,8,0
994.0,0,0,0,0,,,2,2,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,0,0
1031.0,0,0,0,0,,,22,55,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,53,0
1170.0,0,0,0,0,,,2,10,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,8,0
1174.0,0,0,0,0,,,5,25,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,23,0
